Question,Answer
What is Overwatch?,"Overwatch is a team-based multiplayer first-person shooter game developed by Blizzard Entertainment."
When was Overwatch released?,"Overwatch was released on May 24, 2016."
What are Heroes in Overwatch?,"Heroes are playable characters in Overwatch, each with unique abilities and roles in the game."
What are the main roles in Overwatch?,"The main roles in Overwatch are Tank, Damage, and Support."
What is the goal in Overwatch matches?,"The goal is to work as a team to complete objectives like capturing points or escorting payloads."
What are Tank heroes in Overwatch?,"Tank heroes are characters who absorb damage and protect their team with large health pools and shields."
What are Damage heroes in Overwatch?,"Damage heroes focus on dealing damage to enemies and eliminating key targets."
What are Support heroes in Overwatch?,"Support heroes heal and provide buffs to their team, helping them survive and perform better."
What is the in-game currency in Overwatch?,"The in-game currency is called Credits, used to purchase cosmetics like skins, sprays, and emotes."
What are Overwatch League Tokens?,"Overwatch League Tokens are a currency used to purchase skins representing Overwatch League teams."
What is a Payload in Overwatch?,"A Payload is an objective in certain game modes that the attacking team must escort to the goal while the defending team tries to stop it."
What is Quick Play in Overwatch?,"Quick Play is a casual game mode where players can practice or play matches without affecting their rank."
What is Competitive Play in Overwatch?,"Competitive Play is a ranked mode where players are placed in skill tiers based on their performance."
Who is Tracer in Overwatch?,"Tracer is a fast-moving Damage hero who can blink through space and rewind time to avoid damage."
What is the purpose of the Ultimate Ability in Overwatch?,"Ultimate Abilities are powerful skills that heroes charge up during the match and can use to turn the tide of battle."
Who is Reinhardt in Overwatch?,"Reinhardt is a Tank hero who uses a large energy shield to protect his team and a hammer to deal close-range damage."
What are Loot Boxes in Overwatch?,"Loot Boxes are rewards that contain random cosmetics like skins, sprays, voice lines, and emotes."
Who is Mercy in Overwatch?,"Mercy is a Support hero who can heal teammates and resurrect fallen allies."
What does the term DPS stand for in Overwatch?,"DPS stands for Damage Per Second, referring to heroes whose primary role is to deal consistent damage to enemies."
Who is Genji in Overwatch?,"Genji is a Damage hero who uses shurikens and a sword to attack and can deflect enemy projectiles."
What does the term Ult mean in Overwatch?,"Ult is short for Ultimate, referring to a hero's most powerful ability, which charges over time."
Who is Widowmaker in Overwatch?,"Widowmaker is a Damage hero who is a sniper, excelling at long-range precision shots to eliminate key targets."
What is the meaning of SR in Overwatch?,"SR stands for Skill Rating, which is a numerical value used to determine a player's rank in Competitive Play."
Who is Winston in Overwatch?,"Winston is a Tank hero who uses a Tesla Cannon and a Barrier Projector to protect his team and disrupt enemies."
